citizen_id,full_name,dob,age,gender,district,village_or_city,address,pincode,occupation,annual_income,caste,aadhar_number,mobile_number
1051,Sudha Gupta,2005-02-11,20,Female,Bilaspur,Ward 28,"819, Station Road, Bilaspur",493580,Self Employed,384524,ST,527758416169,9284511544
1052,Poonam Kosare,1950-01-05,75,Female,Narayanpur,Village LO,"630, Nehru Nagar, Narayanpur",492250,Carpenter,430073,General,658202970213,9556909275
1053,Deepak Sinha,1986-07-21,39,Male,Korba,Village LM,"256, Main Road, Korba",490213,Weaver,87861,ST,814473947312,9172715518
1054,Ravi Gupta,1949-03-12,76,Male,Narayanpur,Village WU,"521, Gandhi Chowk, Narayanpur",490995,Teacher,212059,ST,058957829114,9678669125
1055,Deepak Sinha,1981-06-23,44,Male,Kabirdham,Kabirdham Nagar,"787, Gandhi Chowk, Kabirdham",493545,Housewife,429053,General,824225358414,9384249818
1056,Hema Sinha,1948-11-23,77,Female,Surguja,Village TX,"863, Indira Nagar, Surguja",490338,Farmer,144327,SC,396907844736,9471027677
1057,Shanta Markam,1963-02-08,62,Female,Narayanpur,Narayanpur Nagar,"779, Station Road, Narayanpur",494219,Housewife,51685,ST,147321046963,9259532787
1058,Nirmala Dhivar,1937-02-21,88,Female,Durg,Durg Nagar,"598, Station Road, Durg",490399,Farmer,98317,ST,480162456506,9098358416
1059,Deepak Sinha,1960-02-27,65,Male,Balrampur,Ward 22,"404, Station Road, Balrampur",496512,Government Employee,245842,OBC,398680002578,9729825952
1060,Poonam Kosare,1961-11-28,64,Female,Surajpur,Colony 9,"726, Indira Nagar, Surajpur",492456,Unemployed,593126,SC,169409749930,9972896230
1061,Ramkumar Lahre 1,1974-08-18,51,Male,Kanker,Kanker Nagar,"421, Indira Nagar, Kanker",496349,Driver,785791,General,283857865278,9585497334
1062,Ravi Gupta 5,2004-03-31,21,Male,Dantewada,Colony 12,"325, Nehru Nagar, Dantewada",492858,Housewife,778360,SC,419866524041,9574733848
1063,Rajesh Verma 4,1956-10-24,69,Male,Bilaspur,Bilaspur Nagar,"54, Main Road, Bilaspur",493386,Government Employee,176358,OBC,082677345401,9938026206
1064,Geeta Sharma,1961-01-12,64,Female,Bilaspur,Ward 1,"951, Station Road, Bilaspur",492332,Unemployed,684846,ST,287431527420,9549329668
1065,Mahesh Sahu,1943-08-15,82,Male,Surguja,Surguja Nagar,"7, Station Road, Surguja",493143,Teacher,219991,SC,499045301742,9684145933
1066,Kiran Banjare 6,1972-05-15,53,Female,Narayanpur,Narayanpur Nagar,"781, Gandhi Chowk, Narayanpur",495574,Driver,442924,ST,851910883982,9258713971
1067,Deepak Sinha,1975-09-29,50,Male,Korba,Ward 17,"573, Nehru Nagar, Korba",495512,Shop Owner,253796,SC,039106518017,9046226567
1068,Durga Mandavi 9,1946-12-29,79,Female,Jashpur,Colony 3,"542, Gandhi Chowk, Jashpur",495963,Teacher,796456,General,478686337524,9310690331
1069,Hemant Kosare 1,1957-01-07,68,Male,Bijapur,Bijapur Nagar,"773, Main Road, Bijapur",491148,Housewife,522769,SC,995342836440,9892687056
1070,Prakash Pandey,1971-09-09,54,Male,Korba,Colony 13,"247, Gandhi Chowk, Korba",492464,Weaver,80689,General,866882634351,9751830469
1071,Suresh Yadav,1951-12-11,74,Male,Sukma,Sukma Nagar,"491, Gandhi Chowk, Sukma",497123,Government Employee,139143,General,331739363854,9678544587
1072,Kamla Sahu,1999-11-16,26,Female,Baloda Bazar,Village KG,"424, Main Road, Baloda Bazar",494609,Teacher,154252,SC,899642353693,9785477725
1073,Rekha Verma,1978-11-15,47,Female,Surguja,Ward 30,"860, Main Road, Surguja",497743,Carpenter,20836,ST,231203875099,9770088600
1074,Santram Dhivar 5,1936-08-07,89,Male,Gariaband,Gariaband Nagar,"110, Main Road, Gariaband",494296,Labour,101235,SC,546156793341,9016668700
1075,Sunita Yadav,1973-12-28,52,Female,Jashpur,Ward 26,"917, Indira Nagar, Jashpur",497530,Farmer,138131,ST,401489025039,9261429396
1076,Prakash Pandey,2001-06-05,24,Male,Korba,Village WX,"55, Main Road, Korba",493581,Teacher,578569,ST,504773586629,9619431142
1077,Seema Chandel,1948-11-26,77,Female,Bijapur,Ward 13,"6, Station Road, Bijapur",493644,Government Employee,176800,OBC,126788861015,9819956046
1078,Bimla Mishra 9,1956-11-03,69,Female,Surajpur,Surajpur Nagar,"143, Station Road, Surajpur",492467,Shop Owner,166586,OBC,646471543799,9371240659
1079,Kanta Yadav,1974-07-23,51,Female,Kanker,Village UT,"329, Indira Nagar, Kanker",497761,Weaver,61180,OBC,654793564651,9939828073
1080,Kanta Yadav 2,2006-06-12,19,Female,Balod,Village PE,"248, Station Road, Balod",495396,Labour,356852,ST,179796886805,9891135290
1081,Jagdish Porte,1970-11-30,55,Male,Sukma,Ward 11,"101, Station Road, Sukma",491819,Housewife,296275,OBC,756798250714,9611254573
1082,Ashok Patle,1943-10-27,82,Male,Bemetara,Ward 24,"308, Main Road, Bemetara",496638,Weaver,131303,SC,123828258673,9622660937
1083,Bharat Mandavi,1998-04-15,27,Male,Raigarh,Ward 7,"592, Main Road, Raigarh",496550,Housewife,62727,OBC,714785969691,9557924991
1084,Shanta Markam 5,1945-07-22,80,Female,Surguja,Colony 9,"429, Indira Nagar, Surguja",491130,Driver,44347,ST,828274225790,9507236887
1085,Vandana Nishad,1998-10-09,27,Female,Bemetara,Ward 16,"815, Gandhi Chowk, Bemetara",492393,Farmer,90465,SC,279788191485,9807836134
1086,Deepak Sinha 2,1974-06-15,51,Male,Rajnandgaon,Village ZH,"882, Indira Nagar, Rajnandgaon",495184,Self Employed,38249,OBC,309584982544,9948126042
1087,Anita Patel 6,1957-04-09,68,Female,Sukma,Sukma Nagar,"592, Station Road, Sukma",495144,Self Employed,29898,General,684577590175,9186363745
1088,Prakash Pandey,1946-10-12,79,Male,Surajpur,Ward 28,"48, Main Road, Surajpur",495130,Unemployed,141822,OBC,770632424154,9152064361
1089,Ramesh Kumar 2,1946-12-20,79,Male,Surajpur,Ward 8,"9, Station Road, Surajpur",496694,Student,621415,OBC,713611155426,9221890927
1090,Santram Dhivar 3,1971-12-31,54,Male,Balrampur,Ward 22,"144, Main Road, Balrampur",494830,Weaver,146254,ST,523413899940,9438983640
1091,Kiran Banjare,1956-09-09,69,Female,Baloda Bazar,Ward 21,"370, Station Road, Baloda Bazar",491082,Self Employed,697996,ST,582710910430,9068486661
1092,Naresh Chandel,1959-12-16,66,Male,Durg,Durg Nagar,"998, Gandhi Chowk, Durg",494395,Government Employee,103138,General,463031617990,9421020275
1093,Umesh Dhruv,1999-09-23,26,Male,Bastar,Village LE,"751, Main Road, Bastar",496320,Farmer,76272,SC,814917785079,9252419138
1094,Suresh Yadav,1936-03-01,89,Male,Janjgir-Champa,Janjgir-Champa Nagar,"184, Main Road, Janjgir-Champa",494530,Weaver,259936,OBC,536541951802,9380617445
1095,Naresh Chandel,1968-02-28,57,Male,Raigarh,Raigarh Nagar,"476, Station Road, Raigarh",494848,Unemployed,502458,OBC,206038505064,9138367024
1096,Suresh Yadav,1981-09-10,44,Male,Balod,Ward 23,"595, Main Road, Balod",494141,Labour,253377,General,990623445655,9743132912
1097,Anil Sharma,1963-03-28,62,Male,Balod,Balod Nagar,"463, Station Road, Balod",493796,Shop Owner,447407,OBC,490352135680,9442067883
1098,Deepak Sinha 3,1945-12-16,80,Male,Raipur,Raipur Nagar,"844, Nehru Nagar, Raipur",493050,Carpenter,319001,General,994101372151,9070296670
1099,Vandana Nishad,1966-10-26,59,Female,Raigarh,Colony 5,"905, Gandhi Chowk, Raigarh",490284,Driver,214432,SC,768701462638,9380657875
1100,Umesh Dhruv,1959-04-29,66,Male,Surguja,Ward 1,"918, Station Road, Surguja",490480,Unemployed,351024,OBC,213348039652,9239559059
1101,Rajesh Verma,1951-12-14,74,Male,Baloda Bazar,Ward 18,"93, Main Road, Baloda Bazar",491906,Driver,89002,ST,059325250029,9218515691
1102,Ravi Gupta,1949-03-12,76,Male,Bijapur,Village ZU,"179, Indira Nagar, Bijapur",495682,Driver,208521,OBC,644220969029,9593917251
1103,Rani Netam,1950-02-15,75,Female,Jashpur,Village CW,"458, Main Road, Jashpur",492173,Teacher,28885,SC,410067626765,9861793271
1104,Ravi Gupta 5,1944-06-16,81,Male,Durg,Ward 11,"561, Main Road, Durg",492769,Driver,653094,General,629620153368,9844431069
1105,Chandra Shekhar,1939-12-15,86,Male,Kabirdham,Colony 5,"205, Main Road, Kabirdham",490211,Teacher,58248,General,714677418625,9652704774
1106,Sushila Pandey 1,1948-08-15,77,Female,Sukma,Village VD,"828, Indira Nagar, Sukma",493392,Driver,27993,ST,868793741608,9989921722
1107,Kanta Yadav 1,1973-01-17,52,Female,Durg,Durg Nagar,"855, Indira Nagar, Durg",492113,Government Employee,435134,General,686854870998,9616229991
1108,Kailash Banjare,2005-07-22,20,Male,Dantewada,Colony 15,"271, Nehru Nagar, Dantewada",495365,Unemployed,274007,General,246299606530,9745054447
1109,Harish Tiwari 5,2001-10-14,24,Male,Bemetara,Colony 12,"620, Main Road, Bemetara",491540,Unemployed,127999,ST,785082148628,9902330307
1110,Virendra Soni,1952-12-04,73,Male,Bastar,Ward 12,"698, Main Road, Bastar",491982,Government Employee,266944,OBC,798552414060,9293333468
1111,Harish Tiwari,2003-12-04,22,Male,Kondagaon,Kondagaon Nagar,"616, Main Road, Kondagaon",491834,Shop Owner,397204,SC,466574374896,9910858994
1112,Dilip Nishad 2,1965-03-26,60,Male,Bastar,Village KI,"193, Gandhi Chowk, Bastar",494238,Teacher,714591,ST,520744666099,9353875842
1113,Anil Sharma 8,1946-07-17,79,Male,Bijapur,Bijapur Nagar,"970, Station Road, Bijapur",495362,Student,49272,SC,655494717099,9917381684
1114,Pushpa Devi,1948-08-03,77,Female,Korba,Colony 10,"147, Station Road, Korba",497065,Weaver,30592,ST,525007432927,9129666676
1115,Suresh Yadav,2000-08-12,25,Male,Kabirdham,Kabirdham Nagar,"19, Main Road, Kabirdham",495134,Weaver,110901,SC,421689421044,9789856257
1116,Brijlal Tandon 7,1936-10-11,89,Male,Janjgir-Champa,Ward 8,"604, Indira Nagar, Janjgir-Champa",491385,Student,105267,General,648909010016,9761847230
1117,Bharat Mandavi,1994-07-01,31,Male,Gariaband,Gariaband Nagar,"429, Main Road, Gariaband",494191,Weaver,224110,General,173934835642,9087375300
1118,Virendra Soni 8,1948-06-11,77,Male,Durg,Ward 25,"927, Station Road, Durg",495279,Teacher,227601,SC,701204556110,9022557941
1119,Chandra Shekhar,1945-04-11,80,Male,Mahasamund,Colony 14,"707, Nehru Nagar, Mahasamund",496553,Self Employed,358906,OBC,120216979729,9659027716
1120,Pushpa Devi 6,1936-03-04,89,Female,Narayanpur,Narayanpur Nagar,"979, Station Road, Narayanpur",494253,Housewife,312068,General,637562890028,9772175354
1121,Umesh Dhruv 7,1971-03-30,54,Male,Janjgir-Champa,Colony 13,"91, Nehru Nagar, Janjgir-Champa",493663,Government Employee,85191,General,166088019948,9837550375
1122,Brijlal Tandon,1977-07-05,48,Male,Narayanpur,Ward 22,"100, Gandhi Chowk, Narayanpur",490018,Government Employee,103055,SC,885102726149,9331637351
1123,Pushpa Devi,1995-05-13,30,Female,Surajpur,Surajpur Nagar,"987, Nehru Nagar, Surajpur",490036,Housewife,295025,ST,978292216995,9866934654
1124,Kanta Yadav 7,1989-02-12,36,Female,Narayanpur,Village XQ,"729, Indira Nagar, Narayanpur",495183,Teacher,101810,SC,522885158799,9684608106
1125,Pushpa Devi,1952-12-30,73,Female,Bastar,Village ZF,"150, Main Road, Bastar",495658,Shop Owner,90932,General,571983863840,9666580043
1126,Harish Tiwari,1974-10-24,51,Male,Janjgir-Champa,Village UW,"774, Indira Nagar, Janjgir-Champa",494478,Weaver,353463,OBC,472122816064,9842294057
1127,Pushpa Devi 6,1988-08-11,37,Female,Bilaspur,Village UT,"503, Indira Nagar, Bilaspur",494507,Government Employee,112757,SC,832818268861,9533555439
1128,Ashok Patle,2002-07-16,23,Male,Jashpur,Colony 6,"247, Indira Nagar, Jashpur",497526,Driver,25226,SC,616484085887,9704358112
1129,Naresh Chandel 2,1953-12-21,72,Male,Kondagaon,Colony 14,"856, Main Road, Kondagaon",491685,Housewife,788695,ST,120750110248,9193466766
1130,Ramesh Kumar,1945-09-04,80,Male,Mungeli,Ward 1,"775, Indira Nagar, Mungeli",490373,Weaver,587538,General,449147660728,9326842450
1131,Harish Tiwari,1946-02-13,79,Male,Bilaspur,Ward 1,"313, Gandhi Chowk, Bilaspur",496131,Weaver,580278,OBC,682223943129,9087814141
1132,Laxmi Tiwari,1964-09-29,61,Female,Kabirdham,Ward 5,"292, Indira Nagar, Kabirdham",490572,Teacher,79067,SC,949299556205,9336452577
1133,Rani Netam,1978-10-02,47,Female,Mungeli,Ward 4,"862, Station Road, Mungeli",497035,Labour,502987,SC,110809969308,9488725639
1134,Rajesh Verma,1980-11-08,45,Male,Durg,Durg Nagar,"869, Indira Nagar, Durg",495605,Labour,186798,ST,229927503731,9453038567
1135,Nirmala Dhivar 6,1944-04-28,81,Female,Narayanpur,Village UI,"593, Indira Nagar, Narayanpur",494671,Labour,69613,SC,918463865577,9908272318
1136,Vijay Singh 3,1967-07-24,58,Male,Balrampur,Colony 4,"831, Station Road, Balrampur",495901,Student,275519,ST,392603029922,9809202428
1137,Poonam Kosare,1992-04-07,33,Female,Raipur,Village XX,"970, Main Road, Raipur",491775,Unemployed,273579,ST,236929298425,9799136621
1138,Vijay Singh,1980-04-23,45,Male,Kondagaon,Kondagaon Nagar,"488, Indira Nagar, Kondagaon",494914,Farmer,678623,General,172980686508,9637659916
1139,Mamta Dewangan,1955-12-03,70,Female,Durg,Village TR,"194, Main Road, Durg",495810,Weaver,301516,General,806356512694,9486959463
1140,Chanda Thakur,1978-05-07,47,Female,Surguja,Village RR,"315, Indira Nagar, Surguja",492821,Weaver,38096,General,372138658902,9601279611
1141,Santosh Dewangan,1989-09-13,36,Male,Bilaspur,Village MM,"729, Indira Nagar, Bilaspur",490471,Labour,265074,General,384309883920,9530214656
1142,Hema Sinha 1,2001-03-05,24,Female,Narayanpur,Village CR,"356, Station Road, Narayanpur",491854,Driver,638425,ST,904268181845,9184894769
1143,Bimla Mishra 6,2004-08-23,21,Female,Bemetara,Ward 22,"494, Main Road, Bemetara",492113,Student,123370,OBC,356588043416,9518275539
1144,Anil Sharma,1996-05-07,29,Male,Raigarh,Raigarh Nagar,"894, Station Road, Raigarh",491694,Teacher,52728,SC,211179080759,9579472846
1145,Bimla Mishra,1939-12-03,86,Female,Gariaband,Ward 26,"515, Station Road, Gariaband",493226,Carpenter,269852,General,875003691559,9428434795
1146,Anil Sharma,1953-12-13,72,Male,Balod,Colony 6,"287, Nehru Nagar, Balod",491474,Driver,95483,OBC,143866322702,9672885744
1147,Harish Tiwari,1970-10-21,55,Male,Rajnandgaon,Village FB,"488, Main Road, Rajnandgaon",493686,Weaver,67312,SC,884506159399,9824558771
1148,Poonam Kosare 3,1950-02-05,75,Female,Jashpur,Colony 11,"870, Main Road, Jashpur",490649,Labour,61088,SC,449647598762,9202341326
1149,Dinesh Patel 8,1984-04-07,41,Male,Bilaspur,Ward 1,"107, Station Road, Bilaspur",495064,Labour,142105,ST,433472282005,9577848728
1150,Hema Sinha,1991-09-05,34,Female,Bijapur,Village SN,"931, Station Road, Bijapur",493946,Housewife,31738,ST,456424008254,9780774064
1151,Santosh Dewangan,1984-03-30,41,Male,Kabirdham,Colony 7,"256, Gandhi Chowk, Kabirdham",495857,Weaver,367168,ST,341638944846,9312241797
1152,Ramkumar Lahre,1951-11-29,74,Male,Kanker,Ward 1,"191, Main Road, Kanker",492312,Shop Owner,77464,General,312073564757,9051204618
1153,Geeta Sharma 5,1969-04-18,56,Female,Raipur,Colony 4,"790, Nehru Nagar, Raipur",492025,Weaver,504428,ST,183764520881,9474350313
1154,Shanta Markam 5,1987-07-09,38,Female,Rajnandgaon,Ward 13,"596, Nehru Nagar, Rajnandgaon",495640,Driver,121029,General,327195005281,9273585730
1155,Rani Netam,1957-07-21,68,Female,Bilaspur,Village WO,"556, Nehru Nagar, Bilaspur",491555,Driver,65569,SC,749821827448,9570862095
1156,Santosh Dewangan,1940-09-29,85,Male,Kondagaon,Colony 9,"785, Indira Nagar, Kondagaon",491263,Driver,73713,SC,118102203173,9109678994
1157,Sunil Netam 2,1936-03-27,89,Male,Raigarh,Ward 21,"370, Indira Nagar, Raigarh",496091,Self Employed,771424,General,948014138113,9863383928
1158,Bharat Mandavi,2003-10-23,22,Male,Jashpur,Colony 8,"905, Main Road, Jashpur",491367,Labour,282303,SC,289755855665,9939836845
1159,Urmila Dhruv,1935-01-30,90,Female,Bijapur,Bijapur Nagar,"912, Station Road, Bijapur",490054,Shop Owner,512630,SC,048889921075,9224593344
1160,Kailash Banjare,1954-07-27,71,Male,Bijapur,Colony 13,"178, Nehru Nagar, Bijapur",496765,Weaver,364832,General,940961055661,9390604805
1161,Kailash Banjare 9,1997-08-30,28,Male,Janjgir-Champa,Colony 12,"995, Nehru Nagar, Janjgir-Champa",496168,Driver,173615,OBC,646225179086,9416862278
1162,Kiran Banjare,1986-04-27,39,Female,Raigarh,Raigarh Nagar,"249, Main Road, Raigarh",492182,Self Employed,141128,General,166553559042,9597927033
1163,Rajesh Verma,1942-10-05,83,Male,Rajnandgaon,Rajnandgaon Nagar,"890, Station Road, Rajnandgaon",490113,Government Employee,179171,SC,770538338848,9792069804
1164,Pushpa Devi 5,1939-10-29,86,Female,Bemetara,Village AC,"679, Station Road, Bemetara",497081,Student,133693,ST,368157981238,9780038457
1165,Laxmi Tiwari 6,1996-06-15,29,Female,Kabirdham,Village UJ,"832, Main Road, Kabirdham",495127,Shop Owner,415449,SC,325621689363,9926495782
1166,Jyoti Porte 9,1996-06-06,29,Female,Raigarh,Raigarh Nagar,"441, Gandhi Chowk, Raigarh",495376,Driver,566460,General,881252056647,9423122099
1167,Hemant Kosare,1955-10-12,70,Male,Balrampur,Village HV,"82, Nehru Nagar, Balrampur",491099,Housewife,645768,SC,267722330604,9633312797
1168,Harish Tiwari,1957-03-15,68,Male,Balod,Colony 10,"738, Station Road, Balod",493229,Driver,699859,General,817703886086,9803476447
1169,Saraswati Patle 1,1996-12-17,29,Female,Gariaband,Colony 14,"93, Indira Nagar, Gariaband",490928,Labour,395850,OBC,665702793714,9521117518
1170,Laxmi Tiwari,1980-12-19,45,Female,Balrampur,Ward 6,"787, Gandhi Chowk, Balrampur",497474,Government Employee,322892,OBC,222064474212,9309407778
1171,Hemant Kosare,1956-05-27,69,Male,Raigarh,Colony 8,"453, Main Road, Raigarh",494926,Driver,135627,SC,983022050209,9945101622
1172,Hemant Kosare,1997-11-06,28,Male,Balrampur,Colony 3,"768, Indira Nagar, Balrampur",492951,Farmer,59229,SC,561681472145,9868339019
1173,Mahesh Sahu,1996-11-04,29,Male,Balrampur,Colony 5,"624, Station Road, Balrampur",492128,Housewife,313380,SC,299787729343,9010713966
1174,Prakash Pandey,1992-04-03,33,Male,Raigarh,Village UG,"261, Main Road, Raigarh",492522,Shop Owner,234915,General,155699023557,9702727857
1175,Manju Tandon,1981-10-23,44,Female,Dantewada,Ward 19,"214, Indira Nagar, Dantewada",495616,Government Employee,382792,SC,124056829962,9914504617
1176,Rani Netam,1962-03-19,63,Female,Raigarh,Village JF,"804, Main Road, Raigarh",496372,Teacher,632666,General,782357845218,9230768104
1177,Dilip Nishad,1942-11-16,83,Male,Kanker,Village BD,"24, Indira Nagar, Kanker",496214,Shop Owner,205010,SC,334485714224,9109881385
1178,Prakash Pandey 5,1986-07-26,39,Male,Janjgir-Champa,Village CJ,"554, Nehru Nagar, Janjgir-Champa",490416,Labour,138396,General,160166299795,9453817921
1179,Kamla Sahu,1996-06-20,29,Female,Jashpur,Jashpur Nagar,"971, Gandhi Chowk, Jashpur",491178,Driver,67638,ST,255770171577,9245992816
